,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21,-35.465,-35.482,-46.201,-46.214,-37.348,-35.537,-46.357,-34.69,-46.215,-46.445,-36.564,-35.778,-46.213,-35.784,-37.628,-46.774
22,-36.255,-45.893,-34.397,-46.128,-37.206,-37.209,-46.174,-46.348,-46.227000000000004,-45.968,-37.298,-37.323,-46.208,-37.426,-37.642,-46.709
23,-34.478,-46.104,-37.234,-36.241,-34.459,-34.465,-37.169000000000004,-34.6,-46.266,-37.303,-46.139,-46.307,-46.285000000000004,-33.852000000000004,-37.918,-47.138
24,-37.193,-46.047000000000004,-36.253,-46.188,-33.518,-37.172000000000004,-45.97,-46.527,-33.841,-46.26,-45.955,-46.589,-35.791000000000004,-46.561,-35.269,-37.584
25,-46.173,-35.523,-46.300000000000004,-37.27,-47.732,-35.539,-46.149,-36.605000000000004,-34.917,-36.566,-36.614,-35.705,-46.177,-35.849000000000004,-36.103,-34.062
26,-46.46,-45.659,-35.410000000000004,-35.33,-33.512,-34.501,-46.336,-37.36,-37.45,-33.697,-46.251,-46.312,-35.897,-34.767,-46.318,-47.177
27,-46.178000000000004,-35.409,-33.554,-34.434,-47.276,-37.309,-46.29,-35.508,-46.256,-36.594,-37.466,-46.414,-37.612,-33.893,-46.668,-35.668
28,-36.318,-45.952,-35.42,-46.094,-36.406,-33.59,-46.189,-46.298,-37.437,-46.309,-33.874,-34.027,-46.341,-34.813,-35.585,-47.041000000000004
29,-37.092,-37.048,-46.22,-34.247,-35.283,-36.245,-35.2,-37.178,-33.614,-46.143,-34.618,-46.602000000000004,-35.605000000000004,-34.595,-33.548,-36.338
30,-46.056000000000004,-45.864000000000004,-35.389,-33.465,-35.402,-34.498,-37.183,-36.433,-35.599000000000004,-36.434,-33.814,-46.319,-34.065,-36.554,-46.486000000000004,-47.058
31,-33.749,-46.035000000000004,-37.438,-34.601,-47.558,-46.492000000000004,-37.37,-35.744,-46.143,-36.609,-34.915,-46.714,-46.607,-46.843,-35.093,-37.743
32,-46.124,-45.89,-36.353,-35.404,-48.053000000000004,-46.241,-33.586,-46.394,-46.176,-34.59,-46.064,-46.377,-46.32,-37.602000000000004,-35.24,-47.023
33,-36.536,-34.691,-36.542,-33.71,-37.509,-46.297000000000004,-46.155,-34.845,-46.21,-46.445,-37.561,-46.645,-36.076,-46.980000000000004,-35.509,-47.113
34,-45.974000000000004,-45.95,-46.485,-34.411,-34.469,-36.369,-34.47,-34.627,-46.223,-34.589,-37.387,-46.342,-36.812,-37.550000000000004,-46.661,-36.634
35,-33.659,-34.595,-34.571,-36.333,-34.542,-36.423,-34.553,-46.57,-33.932,-33.79,-46.0,-35.777,-34.161,-46.96,-34.916000000000004,-47.311
36,-33.717,-45.823,-33.706,-34.541000000000004,-33.665,-33.708,-36.445,-37.506,-34.846000000000004,-46.237,-46.083,-35.929,-46.129,-46.787,-37.555,-36.722
37,-36.410000000000004,-46.027,-46.532000000000004,-34.504,-36.480000000000004,-46.266,-46.216,-46.35,-46.104,-34.84,-33.947,-37.758,-46.167,-36.714,-46.684,-34.866
38,-46.018,-33.665,-34.498,-46.074,-33.644,-46.44,-45.998,-34.639,-35.645,-36.591,-37.539,-36.826,-46.402,-46.862,-36.507,-37.52
